"country","journal","discipline","position","n.authors","n.papers","genderRatios","low.CI.1","up.CI.1","current.rate.of.change","low.CI.2","up.CI.2","years.to.parity","low.CI.3","up.CI.3","r","c","qualitative.result"
"Italy","All journals","General Surgery","overall",56613,10935,22.298,21.588,23.037,0.324,0.226,0.425,104,NA,NA,0.053,3.847,"Male-biased but improving"
"Japan","All journals","General Surgery","overall",78943,20968,10.34,9.932,10.809,0.262,0.201,0.326,111.365,90.365,142.415,0.064,13.032,"Male-biased but improving"
"Malaysia","All journals","General Surgery","overall",780,271,20.636,16.979,25.011,0.52,-0.097,1.184,NA,NA,NA,0.087,5.875,"Male-biased but improving"
"Mexico","All journals","General Surgery","overall",2840,880,23.257,20.315,26.27,0.539,0.133,0.97,55,NA,NA,0.087,4.731,"Male-biased but improving"
"Netherlands","All journals","General Surgery","overall",19152,4502,25.276,24.188,26.547,0.627,0.468,0.8,44.365,33.365,60.365,0.1,4.489,"Male-biased but improving"
"New Zealand","All journals","General Surgery","overall",2545,844,19.073,16.371,22.11,-0.224,-0.57,0.157,NA,NA,NA,-0.037,2.362,"Male-biased and becoming more so"
"Norway","All journals","General Surgery","overall",2839,648,22.971,20.151,25.815,0.632,0.228,1.065,64,NA,NA,0.103,5.55,"Male-biased but improving"
"Pakistan","All journals","General Surgery","overall",1665,609,26.41,21.302,31.655,-0.203,-0.853,0.414,NA,NA,NA,-0.033,1.353,"Male-biased and becoming more so"
"Poland","All journals","General Surgery","overall",2719,624,25.618,22.366,28.681,0.416,-0.035,0.834,NA,NA,NA,0.064,3.259,"Male-biased but improving"
"Portugal","All journals","General Surgery","overall",2586,600,30.58,27.493,33.434,0.427,-0.019,0.84,NA,NA,NA,0.072,2.323,"Male-biased but improving"
"Russia","All journals","General Surgery","overall",832,279,24.025,18.518,30.033,0.564,-0.305,1.488,NA,NA,NA,0.088,4.483,"Male-biased but improving"
"Saudi Arabia","All journals","General Surgery","overall",1893,607,18.602,15.835,21.252,0.724,0.266,1.257,44.365,25.365,121.415,0.124,9.547,"Male-biased but improving"
"Serbia","All journals","General Surgery","overall",1651,379,27.932,23.718,32.357,1.271,0.611,1.892,19.365,10.365,46.365,0.206,8.772,"Male-biased but improving"
"Singapore","All journals","General Surgery","overall",2382,1035,20.344,17.395,23.283,-0.115,-0.548,0.295,NA,NA,NA,-0.019,2.486,"Male-biased and becoming more so"
"South Korea","All journals","General Surgery","overall",14243,7768,32.013,30.545,33.382,0.594,0.362,0.794,32.365,22.34,55.39,0.103,2.641,"Male-biased but improving"
"Spain","All journals","General Surgery","overall",16983,3963,31.23,29.885,32.593,0.543,0.375,0.711,53,NA,NA,0.093,2.596,"Male-biased but improving"
"Sweden","All journals","General Surgery","overall",6008,1730,26.961,24.729,29.132,0.39,0.117,0.661,67,NA,NA,0.063,2.889,"Male-biased but improving"
"Switzerland","All journals","General Surgery","overall",10022,2337,18.372,16.93,19.748,0.161,-0.036,0.353,NA,NA,NA,0.027,4.326,"Male-biased but improving"
"Taiwan","All journals","General Surgery","overall",1041,2784,25.951,20.002,32.712,-0.552,-1.499,0.323,NA,NA,NA,-0.085,0.896,"Male-biased and becoming more so"
"Turkey","All journals","General Surgery","overall",31115,8207,19.994,19.038,20.857,0.402,0.275,0.519,93,NA,NA,0.067,5.235,"Male-biased but improving"
"United Kingdom","All journals","General Surgery","overall",29185,9180,20.76,19.821,21.707,0.599,0.467,0.74,66,NA,NA,0.099,6.412,"Male-biased but improving"
"USA","All journals","General Surgery","overall",338956,100495,26.82,26.531,27.101,0.602,0.566,0.638,42.365,40.365,46.365,0.097,3.87,"Male-biased but improving"
"Canada","All journals","Therapeutics","overall",1068,289,49.722,46.644,49.999,0.082,0,0.305,7,NA,NA,0.608,1.938,"Essentially at parity"
"France","All journals","Therapeutics","overall",2487,955,50,40.823,50,0,-1.038,0.203,6,NA,NA,2.013,40.366,"Essentially at parity"
"Germany","All journals","Therapeutics","overall",914,288,36.885,31.589,41.9,0.644,-0.124,1.107,NA,NA,NA,0.131,2.113,"Male-biased but improving"
"Italy","All journals","Therapeutics","overall",1273,286,37.976,33.069,42.15,0.343,-0.514,0.821,NA,NA,NA,0.075,1.185,"Male-biased but improving"
"Netherlands","All journals","Therapeutics","overall",773,186,49.071,44.867,50,0.201,0,0.462,10,NA,NA,0.471,2.089,"Essentially at parity"
"Spain","All journals","Therapeutics","overall",664,146,44.238,36.014,48.946,0.419,-1.205,0.753,NA,NA,NA,0.193,1.263,"Male-biased but improving"
"Switzerland","All journals","Therapeutics","overall",601,298,39.592,31.437,45.647,1.015,0.073,1.405,21,NA,NA,0.253,4.406,"Male-biased but improving"
"Turkey","All journals","Therapeutics","overall",1386,307,39.363,33.091,44.303,0.832,0.378,1.043,9.365,1.365,46.365,0.201,2.923,"Male-biased but improving"
"United Kingdom","All journals","Therapeutics","overall",684,224,41.332,35.217,45.875,0.357,-0.497,0.699,NA,NA,NA,0.102,0.989,"Male-biased but improving"
"USA","All journals","Therapeutics","overall",9572,3139,39.727,38.194,41.206,0.788,0.651,0.887,9.365,6.365,14.365,0.193,2.568,"Male-biased but improving"
"Argentina","All journals","Toxicology","overall",1391,377,65.572,50,70.663,0.667,0,1.948,NA,NA,NA,-0.075,-0.259,"Female-biased and becoming more so"
"Australia","All journals","Toxicology","overall",4834,1669,31.813,29.305,34.379,-0.022,-0.392,0.313,NA,NA,NA,-0.002,1.114,"Male-biased and becoming more so"
"Austria","All journals","Toxicology","overall",1397,349,40.841,37.009,44.137,0.448,0.003,0.681,22,NA,NA,0.117,1.193,"Male-biased but improving"
"Belgium","All journals","Toxicology","overall",3127,727,40.439,37.916,42.852,0.968,0.785,1.119,6.365,3.365,12.365,0.25,3.819,"Male-biased but improving"
"Brazil","All journals","Toxicology","overall",9198,2034,50,50,52.384,0,-0.079,0,3,NA,NA,3.421,17.912,"Essentially at parity"
"Canada","All journals","Toxicology","overall",10578,3320,37.603,35.99,39.242,0.473,0.306,0.63,22.365,13.365,41.365,0.101,1.536,"Male-biased but improving"
"Chile","All journals","Toxicology","overall",1042,257,46.309,42.421,48.827,0.51,0.28,0.71,0,0,7.365,0.327,2.37,"Essentially at parity"
"China","All journals","Toxicology","overall",11247,8757,47.571,31.359,49.37,0.127,-11.998,0.229,NA,NA,NA,0.107,0.242,"Essentially at parity"
"Croatia","All journals","Toxicology","overall",750,194,62.604,50,71.093,0.195,-0.447,2.994,NA,NA,NA,-0.035,-0.304,"Female-biased and becoming more so"
"Czech Republic","All journals","Toxicology","overall",2102,463,42.417,38.529,45.872,0.404,-0.04,0.624,20,NA,NA,0.128,1.042,"Male-biased but improving"
"Denmark","All journals","Toxicology","overall",3323,901,43.78,40.783,46.551,0.436,0.191,0.553,20,NA,NA,0.17,1.133,"Male-biased but improving"
"Egypt","All journals","Toxicology","overall",945,416,49.365,43.849,50,0.175,0,0.473,10,NA,NA,0.586,3.447,"Essentially at parity"
"Finland","All journals","Toxicology","overall",1994,485,46.843,43.48,49.156,0.348,0.172,0.464,13,NA,NA,0.251,1.098,"Essentially at parity"
"France","All journals","Toxicology","overall",11422,2915,45.086,43.149,46.745,0.252,0.024,0.349,16,NA,NA,0.112,0.555,"Essentially at parity"
"Germany","All journals","Toxicology","overall",12327,3258,37.473,35.931,38.834,0.716,0.581,0.835,14.365,10.365,22.365,0.152,2.376,"Male-biased but improving"
"Greece","All journals","Toxicology","overall",913,253,41.03,36.055,44.674,0.904,0.479,1.187,5.365,1.34,26.39,0.252,3.598,"Male-biased but improving"
"India","All journals","Toxicology","overall",5060,2268,29.713,27.412,32.105,0.018,-0.379,0.367,NA,NA,NA,0.002,1.392,"Male-biased but improving"
"Iran","All journals","Toxicology","overall",1724,629,29.127,24.534,33.283,0.588,-0.168,1.26,NA,NA,NA,0.1,3.262,"Male-biased but improving"
"Ireland","All journals","Toxicology","overall",793,240,39.113,32.382,44.825,0.219,-0.724,0.665,NA,NA,NA,0.048,0.822,"Male-biased but improving"
"Israel","All journals","Toxicology","overall",1005,311,41.53,35.205,46.118,0.078,-0.826,0.463,NA,NA,NA,0.025,0.502,"Male-biased but improving"
"Italy","All journals","Toxicology","overall",9114,1981,49.995,49.873,50,0.002,0,0.031,3,NA,NA,0.977,0.734,"Essentially at parity"
"Japan","All journals","Toxicology","overall",11117,2877,28.612,26.891,30.22,0.376,0.145,0.562,62.365,38.365,177.365,0.06,2.474,"Male-biased but improving"
"Malaysia","All journals","Toxicology","overall",691,286,35.092,27.783,40.832,0.607,-1.066,1.328,NA,NA,NA,0.108,2.126,"Male-biased but improving"
"Mexico","All journals","Toxicology","overall",1688,432,43.656,37.853,47.918,-0.106,-1.658,0.315,NA,NA,NA,-0.044,0.205,"Male-biased and becoming more so"
"Netherlands","All journals","Toxicology","overall",5297,1338,40.466,38.533,42.556,0.827,0.703,0.941,7.365,3.365,12.365,0.219,2.882,"Male-biased but improving"
"New Zealand","All journals","Toxicology","overall",995,313,38.196,33.318,42.673,0.682,0.163,0.976,28,NA,NA,0.152,2.188,"Male-biased but improving"
"Norway","All journals","Toxicology","overall",2600,653,43.712,40.513,46.386,0.728,0.56,0.849,2.365,0,10.365,0.274,2.766,"Male-biased but improving"
"Pakistan","All journals","Toxicology","overall",544,167,25.352,19.306,32.074,-1.381,-3.606,0.343,NA,NA,NA,-0.218,0.312,"Male-biased and becoming more so"
"Poland","All journals","Toxicology","overall",2486,831,50,49.999,59.268,0,-0.089,0.852,NA,NA,NA,5.515,-275.09,"Essentially at parity"
"Portugal","All journals","Toxicology","overall",4119,992,50,49.997,50,0,0,0.002,4,NA,NA,1.614,5.181,"Essentially at parity"
"Saudi Arabia","All journals","Toxicology","overall",601,224,19.376,14.696,25.456,-0.179,-1.07,0.854,NA,NA,NA,-0.032,2.402,"Male-biased and becoming more so"
"Serbia","All journals","Toxicology","overall",1008,240,62.373,58.024,67.549,-0.443,-0.763,0.411,NA,NA,NA,0.057,-0.634,"Female-biased but improving"
"Slovakia","All journals","Toxicology","overall",788,151,48.321,45.225,49.638,0.336,0.116,0.56,12,NA,NA,0.437,2.66,"Essentially at parity"
"South Korea","All journals","Toxicology","overall",3505,2259,41.796,38.501,44.903,0.46,0.058,0.675,22,NA,NA,0.14,1.247,"Male-biased but improving"
"Spain","All journals","Toxicology","overall",5580,1397,46.953,44.266,48.719,0.123,-0.292,0.234,NA,NA,NA,0.081,0.263,"Essentially at parity"
"Sweden","All journals","Toxicology","overall",3697,1039,43.035,39.649,45.827,0.339,-0.029,0.502,20,NA,NA,0.113,0.83,"Male-biased but improving"
"Switzerland","All journals","Toxicology","overall",2793,720,37.945,35.036,40.717,0.607,0.244,0.865,31,NA,NA,0.134,1.926,"Male-biased but improving"
"Tunisia","All journals","Toxicology","overall",789,180,37.463,29.329,44.235,-1.031,-4.155,0.448,NA,NA,NA,-0.226,0.102,"Male-biased and becoming more so"
"Turkey","All journals","Toxicology","overall",5609,1835,40.401,37.887,42.812,0.208,-0.114,0.442,NA,NA,NA,0.056,0.751,"Male-biased but improving"
"United Kingdom","All journals","Toxicology","overall",5133,1551,39.129,36.774,41.113,0.658,0.452,0.808,12.365,6.365,25.365,0.154,2.014,"Male-biased but improving"
"USA","All journals","Toxicology","overall",69313,21305,36.618,35.908,37.319,0.515,0.444,0.576,23.365,19.365,29.365,0.105,1.754,"Male-biased but improving"
"Australia","All journals","Transplantation","overall",2802,564,33.509,30.14,36.569,0.059,-0.378,0.398,NA,NA,NA,0.012,1.071,"Male-biased but improving"
"Austria","All journals","Transplantation","overall",2688,412,27.398,23.635,30.872,0.412,-0.008,0.798,NA,NA,NA,0.066,2.866,"Male-biased but improving"
"Belgium","All journals","Transplantation","overall",2403,413,34.055,30.176,37.862,0.683,0.306,0.966,23.365,11.365,71.365,0.127,2.684,"Male-biased but improving"
"Brazil","All journals","Transplantation","overall",2094,328,40.847,37.539,43.575,0.423,0.089,0.644,29,NA,NA,0.117,1.177,"Male-biased but improving"
"Canada","All journals","Transplantation","overall",6366,1099,31.349,29.36,33.296,0.229,-0.038,0.471,NA,NA,NA,0.038,1.634,"Male-biased but improving"
"China","All journals","Transplantation","overall",1806,1090,43.466,39.783,46.646,0.415,-0.178,0.665,18,NA,NA,0.15,1.026,"Male-biased but improving"
"Egypt","All journals","Transplantation","overall",695,164,32.739,26.676,38.287,1.258,0.355,1.889,27,NA,NA,0.223,6.743,"Male-biased but improving"
"France","All journals","Transplantation","overall",7399,1180,34.983,32.823,36.989,-0.007,-0.315,0.236,NA,NA,NA,-0.002,0.851,"Male-biased and becoming more so"
"Germany","All journals","Transplantation","overall",12838,2149,26.605,24.935,28.126,0.619,0.432,0.803,42.365,30.365,64.365,0.099,4.016,"Male-biased but improving"
"India","All journals","Transplantation","overall",1280,368,20.081,16.541,24.456,-0.732,-1.455,0.11,NA,NA,NA,-0.121,1.074,"Male-biased and becoming more so"
"Iran","All journals","Transplantation","overall",2150,579,30.852,26.543,34.795,0.466,-0.256,1.094,NA,NA,NA,0.08,2.418,"Male-biased but improving"
"Israel","All journals","Transplantation","overall",724,127,44.069,36.277,48.543,0.331,-0.539,0.556,NA,NA,NA,0.138,0.869,"Male-biased but improving"
"Italy","All journals","Transplantation","overall",8190,1055,41.64,39.8,43.31,0.659,0.551,0.751,6.365,3.365,12.365,0.19,1.962,"Male-biased but improving"
"Japan","All journals","Transplantation","overall",10077,1753,14.306,12.778,15.974,0.27,0.069,0.464,104,NA,NA,0.052,7.649,"Male-biased but improving"
"Netherlands","All journals","Transplantation","overall",4414,758,32.23,29.511,34.762,0.138,-0.2,0.43,NA,NA,NA,0.024,1.345,"Male-biased but improving"
"Norway","All journals","Transplantation","overall",825,132,20.1,14.83,25.897,-0.163,-0.812,0.59,NA,NA,NA,-0.029,2.322,"Male-biased and becoming more so"
"Poland","All journals","Transplantation","overall",2033,430,42.052,38.529,45.113,0.665,0.403,0.82,5.365,0.365,20.365,0.204,2.045,"Male-biased but improving"
"Saudi Arabia","All journals","Transplantation","overall",1852,397,25.659,22.337,28.848,0.844,0.254,1.421,32.365,17.365,119.365,0.136,5.896,"Male-biased but improving"
"South Korea","All journals","Transplantation","overall",1954,907,36.934,33.033,40.212,0.384,-0.122,0.736,NA,NA,NA,0.075,1.34,"Male-biased but improving"
"Spain","All journals","Transplantation","overall",5018,675,39.136,36.527,41.196,0.622,0.397,0.782,13.365,6.365,28.39,0.146,1.882,"Male-biased but improving"
"Sweden","All journals","Transplantation","overall",1749,387,31.573,26.475,36.845,-0.146,-0.771,0.441,NA,NA,NA,-0.022,0.966,"Male-biased and becoming more so"
"Switzerland","All journals","Transplantation","overall",2174,432,28.02,24.404,31.698,0.403,-0.027,0.84,NA,NA,NA,0.066,2.725,"Male-biased but improving"
"Turkey","All journals","Transplantation","overall",2368,462,32.181,29.538,35.221,0.728,0.338,1.094,25.365,13.365,63.365,0.128,3.197,"Male-biased but improving"
"United Kingdom","All journals","Transplantation","overall",5422,1178,31,28.663,33.317,0.423,0.158,0.657,56,NA,NA,0.071,2.223,"Male-biased but improving"
"USA","All journals","Transplantation","overall",53556,10830,33.949,33.209,34.737,0.556,0.482,0.628,29.365,24.365,35.365,0.102,2.204,"Male-biased but improving"
"Australia","All journals","Traumatology","overall",4758,1437,46.394,44.756,47.844,0.45,0.354,0.529,0,0,1.365,0.273,1.512,"Essentially at parity"
"Austria","All journals","Traumatology","overall",1866,450,26.562,22.643,30.755,1.263,0.758,1.786,21.365,12.365,38.39,0.206,9.731,"Male-biased but improving"
"Belgium","All journals","Traumatology","overall",791,214,25.492,20.651,30.919,0.556,-0.245,1.353,NA,NA,NA,0.086,3.928,"Male-biased but improving"
"Brazil","All journals","Traumatology","overall",1824,438,42.645,26.137,49.998,0.003,-5.377,0.452,NA,NA,NA,0.025,0.413,"Male-biased but improving"
"Canada","All journals","Traumatology","overall",6815,1703,35.107,33.249,36.945,0.6,0.38,0.802,23.365,14.365,44.39,0.115,2.202,"Male-biased but improving"
"China","All journals","Traumatology","overall",2209,2007,36.32,32.089,39.697,-0.034,-0.849,0.474,NA,NA,NA,-0.013,0.69,"Male-biased and becoming more so"
"Denmark","All journals","Traumatology","overall",950,269,23.707,18.43,29.747,-0.717,-1.723,0.301,NA,NA,NA,-0.111,0.869,"Male-biased and becoming more so"
"Finland","All journals","Traumatology","overall",897,243,28.842,23.257,33.859,1.005,0.2,1.613,33,NA,NA,0.166,5.787,"Male-biased but improving"
"France","All journals","Traumatology","overall",2216,607,28.903,25.434,32.492,0.464,-0.138,0.989,NA,NA,NA,0.075,2.72,"Male-biased but improving"
"Germany","All journals","Traumatology","overall",8905,2129,16.705,15.109,18.176,0.454,0.218,0.707,71.365,45.365,147.39,0.08,7.828,"Male-biased but improving"
"Greece","All journals","Traumatology","overall",1139,278,20.813,15.691,26.357,0.48,-0.223,1.286,NA,NA,NA,0.078,5.381,"Male-biased but improving"
"India","All journals","Traumatology","overall",2116,941,12.913,10.53,15.498,-0.696,-1.005,-0.308,NA,NA,NA,-0.147,1.689,"Male-biased and becoming more so"
"Iran","All journals","Traumatology","overall",1380,678,22.039,18.116,26.027,0.2,-0.589,0.938,NA,NA,NA,0.034,3.327,"Male-biased but improving"
"Israel","All journals","Traumatology","overall",1423,429,28.983,24.077,33.565,0.699,0.092,1.171,44,NA,NA,0.114,3.75,"Male-biased but improving"
"Italy","All journals","Traumatology","overall",3676,831,23.562,20.851,26.305,-0.011,-0.444,0.399,NA,NA,NA,-0.004,2.177,"Male-biased and becoming more so"
"Japan","All journals","Traumatology","overall",3778,1006,11.913,9.918,14.047,0.476,0.188,0.846,64.365,38.34,153.365,0.105,15.309,"Male-biased but improving"
"Netherlands","All journals","Traumatology","overall",2545,758,33.224,30.07,36.569,1.019,0.624,1.365,17.365,9.365,34.365,0.185,4.646,"Male-biased but improving"
"Norway","All journals","Traumatology","overall",1556,451,39.207,35.303,42.447,1.473,1.145,1.711,5.365,2.365,12.365,0.352,10.305,"Male-biased but improving"
"Poland","All journals","Traumatology","overall",793,321,24.322,16.942,31.42,-0.426,-1.627,0.771,NA,NA,NA,-0.068,1.189,"Male-biased and becoming more so"
"South Korea","All journals","Traumatology","overall",1297,734,29.778,24.995,34.091,0.97,0.298,1.606,35,NA,NA,0.168,5.483,"Male-biased but improving"
"Spain","All journals","Traumatology","overall",1657,408,26.539,22.483,30.633,-0.164,-0.858,0.43,NA,NA,NA,-0.024,1.436,"Male-biased and becoming more so"
"Sweden","All journals","Traumatology","overall",2521,769,30.803,27.189,34.403,0.014,-0.513,0.465,NA,NA,NA,0.002,1.267,"Male-biased but improving"
"Switzerland","All journals","Traumatology","overall",1771,469,20.507,17.297,23.955,0.891,0.33,1.482,46,NA,NA,0.144,9.52,"Male-biased but improving"
"Turkey","All journals","Traumatology","overall",7503,2165,18.538,16.647,20.502,0.689,0.442,0.973,64,NA,NA,0.12,9.146,"Male-biased but improving"
"United Kingdom","All journals","Traumatology","overall",3868,1337,31.687,29.047,34.408,0.606,0.25,0.907,45,NA,NA,0.105,2.756,"Male-biased but improving"
"USA","All journals","Traumatology","overall",61386,15272,32.759,32.066,33.43,0.498,0.41,0.573,35.365,29.365,45.365,0.088,2.195,"Male-biased but improving"
"Argentina","All journals","Tropical Medicine","overall",1020,210,50.011,48.042,69.08,-0.003,-0.153,22.715,NA,NA,NA,0.991,-2.017,"Essentially at parity"
"Australia","All journals","Tropical Medicine","overall",1818,387,38.031,33.794,41.736,0.317,-0.448,0.786,NA,NA,NA,0.073,1.136,"Male-biased but improving"
"Austria","All journals","Tropical Medicine","overall",531,102,35.076,28.234,41.453,0.961,-0.209,1.688,26,NA,NA,0.179,3.819,"Male-biased but improving"
"Belgium","All journals","Tropical Medicine","overall",861,143,35.749,27.173,42.398,0.089,-1.974,1.11,NA,NA,NA,0.022,0.938,"Male-biased but improving"
"Brazil","All journals","Tropical Medicine","overall",5907,1174,49.989,40.025,50.17,0,-6.356,0.085,NA,NA,NA,0.555,0.227,"Essentially at parity"
"Canada","All journals","Tropical Medicine","overall",1050,232,41.815,36.262,46.154,0.574,-0.692,0.99,NA,NA,NA,0.162,1.543,"Male-biased but improving"
"China","All journals","Tropical Medicine","overall",1036,584,47.659,44.165,49.613,0.283,-0.042,0.508,11,NA,NA,0.282,1.049,"Essentially at parity"
"Colombia","All journals","Tropical Medicine","overall",781,195,46.408,36.392,49.685,0.218,-3.014,0.528,NA,NA,NA,0.153,0.562,"Essentially at parity"
"France","All journals","Tropical Medicine","overall",4051,689,40.084,37.668,42.363,0.823,0.454,1.057,8.365,3.365,22.365,0.206,2.744,"Male-biased but improving"
"Germany","All journals","Tropical Medicine","overall",2036,382,37.135,33.432,40.431,0.7,0.195,1.042,27,NA,NA,0.146,2.334,"Male-biased but improving"
"India","All journals","Tropical Medicine","overall",2252,851,33.28,28.75,37.222,-0.581,-1.656,0.121,NA,NA,NA,-0.105,0.417,"Male-biased and becoming more so"
"Iran","All journals","Tropical Medicine","overall",410,111,29.694,18.521,39.862,-0.458,-2.605,1.064,NA,NA,NA,-0.065,0.768,"Male-biased and becoming more so"
"Italy","All journals","Tropical Medicine","overall",1459,249,43.041,38.748,46.515,0.411,-0.402,0.718,NA,NA,NA,0.143,1.03,"Male-biased but improving"
"Japan","All journals","Tropical Medicine","overall",1154,284,30.894,25.692,35.887,0.979,0.328,1.474,31,NA,NA,0.165,4.856,"Male-biased but improving"
"Kenya","All journals","Tropical Medicine","overall",1010,175,36.43,31.179,40.785,0.796,0.034,1.28,28,NA,NA,0.159,2.807,"Male-biased but improving"
"Mexico","All journals","Tropical Medicine","overall",1341,320,34.202,29.131,38.447,0.3,-0.527,0.827,NA,NA,NA,0.057,1.469,"Male-biased but improving"
"Netherlands","All journals","Tropical Medicine","overall",1375,282,38.492,33.481,42.698,0.845,0.138,1.18,23,NA,NA,0.192,2.942,"Male-biased but improving"
"Spain","All journals","Tropical Medicine","overall",1390,268,46.591,42.489,48.968,0.505,0.12,0.725,14,NA,NA,0.359,2.819,"Essentially at parity"
"Sweden","All journals","Tropical Medicine","overall",637,126,38.382,31.797,43.613,0.142,-1.024,0.791,NA,NA,NA,0.034,0.796,"Male-biased but improving"
"Switzerland","All journals","Tropical Medicine","overall",2249,415,38.427,35.241,41.404,0.786,0.234,1.128,27,NA,NA,0.179,2.66,"Male-biased but improving"
"Thailand","All journals","Tropical Medicine","overall",1229,305,41.3,35.826,45.658,0.364,-0.681,0.749,NA,NA,NA,0.089,0.897,"Male-biased but improving"
"Uganda","All journals","Tropical Medicine","overall",605,119,35.985,29.313,41.72,0.232,-0.995,0.982,NA,NA,NA,0.052,1.179,"Male-biased but improving"
"United Kingdom","All journals","Tropical Medicine","overall",4919,984,38.676,36.22,40.918,0.473,0.098,0.763,32,NA,NA,0.111,1.457,"Male-biased but improving"
"USA","All journals","Tropical Medicine","overall",15636,3625,40.766,39.593,41.852,0.771,0.659,0.876,7.365,5.365,11.365,0.206,2.515,"Male-biased but improving"
"Argentina","All journals","Unclassified","overall",2052,568,50.012,29.626,50.117,-0.007,-4.79,0,4,NA,NA,0.815,-0.529,"Essentially at parity"
"Australia","All journals","Unclassified","overall",12121,4480,44.302,42.906,45.646,0.31,0.127,0.422,19,NA,NA,0.123,0.717,"Male-biased but improving"
"Austria","All journals","Unclassified","overall",4631,1315,34.45,32.375,36.604,0.255,-0.071,0.542,NA,NA,NA,0.047,1.337,"Male-biased but improving"
"Belgium","All journals","Unclassified","overall",4125,1147,34.539,32.138,36.965,-0.09,-0.549,0.322,NA,NA,NA,-0.015,0.785,"Male-biased and becoming more so"
"Brazil","All journals","Unclassified","overall",16771,5529,29.498,26.651,50,-10.985,-13.705,0,NA,NA,NA,-1.981,0,"Male-biased and becoming more so"
"Canada","All journals","Unclassified","overall",21697,8048,42.873,41.854,43.984,0.302,0.166,0.414,8.365,3.365,22.365,0.101,0.765,"Male-biased but improving"
"Chile","All journals","Unclassified","overall",1040,298,30.793,25.528,35.865,-0.529,-1.451,0.187,NA,NA,NA,-0.091,0.585,"Male-biased and becoming more so"
"China","All journals","Unclassified","overall",13943,12888,45.96,44.24,47.343,0.144,-0.175,0.272,11,NA,NA,0.076,0.334,"Essentially at parity"
"Colombia","All journals","Unclassified","overall",669,162,33.742,28.255,38.926,0.301,-1.404,1.318,NA,NA,NA,0.053,1.484,"Male-biased but improving"
"Czech Republic","All journals","Unclassified","overall",3452,947,34.01,30.638,37.333,-0.528,-1.199,0.012,NA,NA,NA,-0.094,0.429,"Male-biased and becoming more so"
"Denmark","All journals","Unclassified","overall",5425,1610,38.504,36.514,40.466,0.645,0.38,0.834,14.365,8.365,29.365,0.146,2.006,"Male-biased but improving"
"Egypt","All journals","Unclassified","overall",1728,978,35.809,20.076,41.945,-0.068,-7.855,0.774,NA,NA,NA,-0.014,0.694,"Male-biased and becoming more so"
"Finland","All journals","Unclassified","overall",4542,1108,40.008,37.541,42.544,0.505,0.26,0.689,13.365,5.365,36.365,0.127,1.434,"Male-biased but improving"
"France","All journals","Unclassified","overall",13938,4200,34.26,32.85,35.566,-0.221,-0.532,0.016,NA,NA,NA,-0.042,0.648,"Male-biased and becoming more so"
"Germany","All journals","Unclassified","overall",27136,8105,30.737,29.863,31.642,0.423,0.287,0.558,49.365,35.365,75.365,0.072,2.275,"Male-biased but improving"
"Greece","All journals","Unclassified","overall",3138,831,32.103,29.087,35.272,0.901,0.502,1.274,34,NA,NA,0.159,4.164,"Male-biased but improving"
"Hungary","All journals","Unclassified","overall",1067,310,41.469,35.739,47.208,0.636,-0.121,0.923,18,NA,NA,0.191,1.969,"Male-biased but improving"
"India","All journals","Unclassified","overall",18912,12215,34.864,33.549,36.101,0.21,-0.07,0.445,NA,NA,NA,0.041,1.22,"Male-biased but improving"
"Iran","All journals","Unclassified","overall",7866,6322,37.335,35.462,39.177,1.243,0.956,1.489,9.365,5.365,14.365,0.266,6.155,"Male-biased but improving"
"Ireland","All journals","Unclassified","overall",2180,701,34.754,30.476,38.677,-0.225,-1.344,0.433,NA,NA,NA,-0.048,0.586,"Male-biased and becoming more so"
"Israel","All journals","Unclassified","overall",2739,1095,39.274,36.044,42.278,0.208,-0.336,0.538,NA,NA,NA,0.05,0.814,"Male-biased but improving"
"Italy","All journals","Unclassified","overall",19906,5149,39.847,38.543,40.951,0.023,-0.197,0.198,NA,NA,NA,0.004,0.533,"Male-biased but improving"
"Japan","All journals","Unclassified","overall",28035,9081,21.047,20.166,22.004,0.343,0.225,0.469,90.365,64.365,138.39,0.056,4.399,"Male-biased but improving"
"Malaysia","All journals","Unclassified","overall",1504,771,33.526,29.357,37.436,0.046,-1.005,0.803,NA,NA,NA,0.009,1.054,"Male-biased but improving"
"Mexico","All journals","Unclassified","overall",1745,529,37.128,33.126,40.705,-0.38,-1.43,0.257,NA,NA,NA,-0.081,0.357,"Male-biased and becoming more so"
"Netherlands","All journals","Unclassified","overall",9766,2898,39.434,37.828,40.87,0.648,0.474,0.787,11.365,7.365,20.365,0.156,1.967,"Male-biased but improving"
"New Zealand","All journals","Unclassified","overall",2365,758,36.379,33.247,39.34,0.169,-0.497,0.633,NA,NA,NA,0.036,1,"Male-biased but improving"
"Nigeria","All journals","Unclassified","overall",673,415,29.727,23.731,35.47,0.633,-0.449,1.588,NA,NA,NA,0.104,3.266,"Male-biased but improving"
"Norway","All journals","Unclassified","overall",4186,1297,43.781,41.94,45.722,0.874,0.766,0.983,2.365,0,4.365,0.325,4.251,"Male-biased but improving"
"Pakistan","All journals","Unclassified","overall",1103,431,30.201,25.915,34.479,0.113,-0.77,0.9,NA,NA,NA,0.019,1.528,"Male-biased but improving"
"Poland","All journals","Unclassified","overall",7134,2622,37.783,34.99,40.557,-2.179,-3.708,-1.093,NA,NA,NA,-0.475,0.012,"Male-biased and becoming more so"
